# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
117.614,266.726,6.754e4,0.36
117,266.688,6.749e4,0.358
116.388,266.65,6.744e4,0.356
115.777,266.613,6.739e4,0.354
115.168,266.575,6.734e4,0.352
114.56,266.538,6.729e4,0.351
113.954,266.501,6.724e4,0.349
113.349,266.464,6.719e4,0.347
112.745,266.428,6.714e4,0.345
112.143,266.391,6.709e4,0.343
111.542,266.355,6.704e4,0.341
110.942,266.319,6.699e4,0.34
110.344,266.283,6.694e4,0.338
109.747,266.247,6.69e4,0.336
109.151,266.212,6.685e4,0.334
108.557,266.177,6.68e4,0.332
107.964,266.142,6.676e4,0.331
107.372,266.107,6.671e4,0.329
106.781,266.072,6.666e4,0.327
106.191,266.038,6.662e4,0.325
105.603,266.003,6.657e4,0.323
105.015,265.969,6.652e4,0.322
104.429,265.935,6.648e4,0.32
103.845,265.902,6.643e4,0.318
103.261,265.868,6.639e4,0.316
102.679,265.835,6.635e4,0.315
102.097,265.801,6.63e4,0.313
101.517,265.769,6.626e4,0.311
100.939,265.736,6.621e4,0.309
100.361,265.703,6.617e4,0.308
99.784,265.671,6.613e4,0.306
99.209,265.639,6.608e4,0.304
98.634,265.607,6.604e4,0.302
98.061,265.575,6.6e4,0.301
97.489,265.543,6.596e4,0.299
96.918,265.512,6.591e4,0.297
96.348,265.48,6.587e4,0.295
95.779,265.449,6.583e4,0.294
95.211,265.418,6.579e4,0.292
94.644,265.388,6.575e4,0.29
94.078,265.357,6.571e4,0.289
93.513,265.327,6.567e4,0.287
92.949,265.297,6.563e4,0.285
92.386,265.267,6.559e4,0.284
91.824,265.237,6.556e4,0.282
91.263,265.207,6.552e4,0.28
90.703,265.178,6.548e4,0.278
90.144,265.148,6.544e4,0.277
89.586,265.119,6.541e4,0.275
89.029,265.09,6.537e4,0.273
88.473,265.062,6.533e4,0.272
87.917,265.033,6.53e4,0.27
87.363,265.005,6.526e4,0.268
86.81,264.977,6.523e4,0.267
86.257,264.949,6.519e4,0.265
85.705,264.921,6.516e4,0.263
85.155,264.893,6.512e4,0.262
84.605,264.866,6.509e4,0.26
84.056,264.839,6.505e4,0.258
83.508,264.811,6.502e4,0.257
82.961,264.785,6.498e4,0.255
82.414,264.758,6.495e4,0.253
81.869,264.731,6.492e4,0.252
81.324,264.705,6.488e4,0.25
80.781,264.679,6.485e4,0.248
80.238,264.653,6.482e4,0.247
79.695,264.627,6.478e4,0.245
79.154,264.601,6.475e4,0.243
78.614,264.576,6.472e4,0.242
78.074,264.55,6.469e4,0.24
77.535,264.525,6.465e4,0.239
76.997,264.5,6.462e4,0.237
76.459,264.475,6.459e4,0.235
75.923,264.451,6.456e4,0.234
75.387,264.426,6.453e4,0.232
74.852,264.402,6.45e4,0.23
74.317,264.378,6.447e4,0.229
73.784,264.354,6.444e4,0.227
73.251,264.33,6.441e4,0.225
72.718,264.307,6.438e4,0.224
72.187,264.283,6.435e4,0.222
71.656,264.26,6.432e4,0.221
71.126,264.237,6.429e4,0.219
70.596,264.214,6.426e4,0.217
70.068,264.192,6.423e4,0.216
69.54,264.169,6.42e4,0.214
69.012,264.147,6.417e4,0.213
68.486,264.125,6.415e4,0.211
67.96,264.103,6.412e4,0.209
67.435,264.081,6.409e4,0.208
66.911,264.059,6.406e4,0.206
66.387,264.038,6.404e4,0.205
65.864,264.016,6.401e4,0.203
65.342,263.995,6.398e4,0.201
64.82,263.974,6.395e4,0.2
64.299,263.953,6.393e4,0.198
63.779,263.933,6.39e4,0.197
63.259,263.912,6.388e4,0.195
62.74,263.892,6.385e4,0.193
62.222,263.872,6.382e4,0.192
61.704,263.852,6.38e4,0.19
61.187,263.832,6.377e4,0.189
60.671,263.812,6.375e4,0.187
60.155,263.793,6.372e4,0.186
59.639,263.774,6.37e4,0.184
59.125,263.755,6.368e4,0.182
58.61,263.736,6.365e4,0.181
58.097,263.717,6.363e4,0.179
57.584,263.698,6.36e4,0.178
57.072,263.68,6.358e4,0.176
56.56,263.661,6.356e4,0.175
56.049,263.643,6.354e4,0.173
55.538,263.625,6.351e4,0.172
55.028,263.608,6.349e4,0.17
54.518,263.59,6.347e4,0.169
54.01,263.573,6.345e4,0.167
53.501,263.555,6.342e4,0.165
52.993,263.538,6.34e4,0.164
52.486,263.521,6.338e4,0.163
51.98,263.504,6.336e4,0.161
51.473,263.488,6.334e4,0.159
50.968,263.471,6.332e4,0.158
50.463,263.455,6.33e4,0.156
49.958,263.439,6.328e4,0.155
49.454,263.423,6.326e4,0.153
48.951,263.407,6.324e4,0.152
48.448,263.392,6.322e4,0.15
47.946,263.376,6.32e4,0.149
47.444,263.361,6.318e4,0.147
46.942,263.346,6.316e4,0.146
46.442,263.331,6.314e4,0.144
45.942,263.316,6.312e4,0.143
45.442,263.302,6.31e4,0.141
44.943,263.287,6.308e4,0.14
44.444,263.273,6.306e4,0.138
43.946,263.259,6.305e4,0.136
43.449,263.245,6.303e4,0.135
42.952,263.231,6.301e4,0.133
42.456,263.217,6.299e4,0.132
41.96,263.204,6.298e4,0.13
41.465,263.19,6.296e4,0.129
40.971,263.177,6.294e4,0.127
40.477,263.164,6.293e4,0.126
39.983,263.152,6.291e4,0.125
39.491,263.139,6.29e4,0.123
38.998,263.126,6.288e4,0.122
38.507,263.114,6.286e4,0.12
38.016,263.102,6.285e4,0.119
37.526,263.09,6.283e4,0.117
37.036,263.078,6.282e4,0.116
36.547,263.066,6.28e4,0.114
36.058,263.055,6.279e4,0.113
35.57,263.044,6.277e4,0.111
35.083,263.032,6.276e4,0.11
34.596,263.021,6.275e4,0.108
34.11,263.01,6.273e4,0.107
33.624,263,6.272e4,0.105
33.14,262.989,6.271e4,0.103
32.655,262.979,6.269e4,0.102
32.172,262.969,6.268e4,0.1
31.689,262.959,6.267e4,0.099
31.207,262.949,6.265e4,0.098
30.726,262.939,6.264e4,0.096
30.245,262.929,6.263e4,0.095
29.765,262.92,6.262e4,0.093
29.286,262.911,6.261e4,0.092
28.808,262.902,6.259e4,0.09
28.331,262.893,6.258e4,0.089
27.854,262.884,6.257e4,0.088
